,name,online_order,book_table,votes,location,cuisines,approx_cost(for two people),listed_in(type),type,rate
30493,9,0,1,1741,28,51,1400.0,2,8,4.2
14318,3041,1,0,231,15,51,400.0,4,9,3.2
12380,602,1,0,1744,7,24,400.0,3,7,4.9
16862,5911,1,0,46,18,51,300.0,3,8,3.9
25271,3404,1,0,33,41,51,300.0,2,9,3.1
24991,4373,1,0,23,1,40,400.0,4,4,3.7
40031,1406,1,0,31,35,3,150.0,3,7,3.7
11140,3359,1,0,4,2,51,400.0,4,9,3.3
48272,1980,1,0,114,37,51,1000.0,4,4,4.0
37016,1504,0,0,53,28,51,600.0,4,8,2.7
31294,2219,0,1,818,30,51,800.0,4,3,4.2
41394,4014,1,0,95,36,51,500.0,2,9,3.1
42396,599,1,0,265,45,21,850.0,2,4,3.8
34972,5441,1,0,8,9,40,600.0,2,6,3.5
19831,3233,1,1,206,21,51,1000.0,2,8,3.7
13276,3583,0,0,6,49,57,700.0,5,1,3.4
5863,4448,1,0,10,11,24,100.0,3,7,3.5
4943,6198,0,0,46,5,51,2000.0,5,8,3.8
37986,5981,1,1,1849,34,51,1500.0,2,4,4.4
10571,412,1,0,113,9,51,400.0,4,9,4.0
47591,56,1,0,171,16,51,600.0,2,9,3.9
51351,3084,1,0,52,54,51,400.0,4,9,3.0
13524,5938,1,0,79,15,51,500.0,2,3,3.2
9958,2612,1,0,11,27,38,400.0,2,6,3.6
39260,169,0,0,13,53,56,200.0,4,9,3.2
1713,974,0,0,24,23,25,300.0,2,7,3.7
23733,1162,1,0,113,9,51,250.0,4,8,4.0
26122,928,0,1,2011,24,51,800.0,4,4,4.2
40153,3809,1,0,61,35,51,800.0,4,4,2.7
21366,4761,1,1,1230,2,51,900.0,4,4,3.9
29670,1644,1,0,177,9,51,500.0,2,9,3.5
31360,2072,1,1,325,31,51,800.0,4,4,4.2
27349,2821,1,0,119,18,51,900.0,2,4,3.9
11064,7,0,1,353,27,51,2000.0,4,8,4.1
2609,6214,1,0,97,21,51,350.0,2,9,3.7
7416,3089,1,0,47,36,36,300.0,2,9,3.8
44096,2832,1,0,421,39,51,700.0,2,4,4.2
13473,2552,1,0,237,15,51,400.0,2,9,3.8
4555,5969,1,1,2182,5,51,1400.0,4,8,4.4
12792,2690,0,0,57,50,40,700.0,4,4,3.7
21599,2188,1,0,4,3,51,100.0,4,9,3.2
20066,4148,1,0,397,21,40,300.0,2,9,3.3
5792,5196,1,0,4,49,54,200.0,2,9,3.2
38666,529,0,1,221,37,51,1000.0,4,8,4.2
14281,4263,1,0,145,15,51,400.0,4,7,4.0
36712,1432,1,1,2584,29,51,1200.0,4,1,4.3
35931,135,0,0,27,9,54,250.0,2,9,3.7
37632,2737,0,0,70,41,40,1500.0,6,1,3.9
1826,5585,1,0,29,9,39,500.0,2,9,3.1
17036,1816,1,0,3833,18,51,750.0,4,4,3.9
11448,6353,0,0,39,9,32,1200.0,5,1,3.5
34759,37,0,1,1174,9,51,1100.0,0,5,4.4
46806,910,1,0,266,43,51,600.0,4,8,3.9
15568,1571,0,0,11,11,51,150.0,4,9,3.4
44510,864,0,0,7,39,51,450.0,4,3,3.3
25646,5462,1,0,29,41,51,300.0,2,10,3.7
30136,6025,1,0,34,29,51,250.0,2,8,3.8
6910,1914,1,0,11,36,30,200.0,2,9,3.5
25499,4712,0,0,216,25,51,300.0,2,8,4.2
49234,5274,1,0,234,18,27,500.0,2,7,3.9
26689,256,1,0,426,26,10,250.0,2,9,4.2
4640,3453,0,0,337,5,38,450.0,4,4,2.1
38536,651,0,0,27,37,51,300.0,3,9,3.4
28444,3025,0,1,1794,29,51,1000.0,4,4,4.1
36686,827,1,1,2621,29,51,1300.0,4,4,4.2
27043,4033,1,0,8,18,51,300.0,2,10,3.1
81,2044,1,0,146,0,51,400.0,2,2,4.2
20949,4027,1,0,38,0,33,150.0,3,7,4.0
44115,2408,1,0,112,41,55,400.0,2,9,3.1
32830,4129,1,0,8,9,6,200.0,2,2,3.5
48219,5570,0,1,263,7,51,1500.0,4,8,4.2
24631,5138,1,0,120,25,51,150.0,3,8,4.0
26856,1990,1,0,59,18,51,600.0,2,3,3.7
32428,2294,1,0,18,9,51,100.0,2,9,4.0
40120,5572,0,0,730,35,51,1500.0,4,8,4.1
44791,933,0,0,7,19,15,600.0,1,3,3.4
547,90,1,0,97,3,59,400.0,3,4,2.7
13847,5961,0,0,7,15,40,300.0,2,9,3.4
11552,1466,0,1,679,45,51,2500.0,0,8,4.3
27187,3235,1,0,106,41,51,300.0,2,9,4.2
34775,960,1,0,73,31,14,650.0,1,3,3.2
21714,5554,0,0,63,9,14,500.0,4,3,3.8
31611,3816,0,0,7,26,10,200.0,4,9,3.2
6253,4796,1,0,296,11,8,600.0,4,4,2.8
40921,749,1,0,66,36,39,600.0,2,9,3.6
17093,2463,1,0,11,18,51,300.0,4,9,3.4
50393,4327,1,0,5,54,38,400.0,2,9,3.3
17632,993,0,1,563,37,51,2500.0,1,8,4.1
22000,2682,1,0,35,23,40,200.0,2,9,3.6
21044,1344,1,1,2345,21,51,1500.0,4,4,4.1
48075,880,1,0,34,12,51,300.0,3,7,4.1
7788,2679,1,1,690,8,51,750.0,4,4,3.7
19451,4056,1,1,4410,23,51,600.0,1,8,4.4
12548,66,1,0,41,10,27,150.0,4,7,4.1
15538,4870,0,0,26,49,8,300.0,4,9,3.6
24764,4246,1,0,434,24,53,750.0,4,4,2.7
31368,856,1,0,24,31,14,550.0,4,3,3.7
10231,889,1,0,9,9,4,400.0,3,0,3.3
34505,3746,1,0,19,9,51,350.0,4,9,3.6
7944,4073,1,0,142,54,14,700.0,4,3,4.1
21713,2844,0,0,89,23,51,400.0,4,9,3.8
38950,2088,0,0,51,42,60,150.0,4,9,3.8
36235,261,0,0,8,14,8,100.0,2,9,3.3
47945,4893,0,0,4,52,56,400.0,2,9,3.2
35890,3369,1,0,4,29,51,300.0,2,9,3.2
5392,1702,1,0,62,10,10,400.0,2,9,3.5
4154,1109,1,0,81,46,4,300.0,2,0,3.8
42760,4588,0,0,10,37,41,350.0,2,9,3.4
51598,5705,1,0,130,54,28,300.0,4,9,3.3
31391,2402,1,0,57,31,51,700.0,4,4,3.8
19491,2342,1,0,248,9,51,400.0,2,9,3.9
21925,3171,1,0,169,33,51,150.0,2,2,3.9
31405,2087,1,0,93,30,49,300.0,4,9,3.7
49598,1081,0,0,21,5,4,500.0,3,0,3.7
9407,234,0,0,39,9,40,400.0,2,9,3.6
22294,4301,1,0,7,9,51,400.0,2,9,3.2
48023,1406,1,0,36,7,3,150.0,3,0,3.4
20037,4909,1,0,12,3,7,150.0,2,9,3.1
40679,1199,1,0,115,36,51,300.0,2,10,3.4
43715,2265,1,1,4840,12,51,1300.0,4,8,4.7
1986,960,0,0,19,2,17,900.0,4,3,3.6
3967,3402,1,0,27,46,51,300.0,2,9,3.8
26774,1604,1,0,499,30,51,300.0,2,9,3.9
43155,1081,0,0,683,19,4,500.0,3,0,4.1
16391,6004,1,0,70,18,51,400.0,2,9,4.2
9863,2527,0,0,51,29,51,500.0,2,10,3.6
36679,5680,0,1,224,28,51,1200.0,4,5,4.3
17194,2963,1,0,50,18,51,450.0,4,9,3.9
30205,817,1,0,27,29,33,200.0,2,7,3.9
19878,2796,1,0,16,21,54,100.0,2,9,3.7
21915,2758,1,0,26,23,51,150.0,2,10,3.4
30625,5603,0,0,65,30,23,550.0,2,9,3.8
35965,856,1,0,24,31,14,550.0,2,3,3.7
20148,1285,1,0,455,30,18,1000.0,2,4,3.9
10429,3834,1,0,273,9,51,900.0,4,4,3.8
50747,1596,0,0,10,54,24,750.0,2,6,3.5
41122,3056,1,1,585,36,51,600.0,2,4,3.8
23539,371,1,0,53,2,51,400.0,4,9,3.3
13425,1569,1,0,505,15,51,250.0,2,9,3.9
21500,1318,1,0,358,9,40,400.0,4,9,3.8
3579,1276,1,0,46,0,51,500.0,4,9,3.6
45790,4558,1,0,62,22,38,400.0,4,9,3.8
29782,970,1,0,23,29,51,600.0,2,3,3.8
9951,5516,1,0,413,29,51,700.0,2,3,4.2
38995,5701,1,0,37,49,40,350.0,4,9,3.3
15004,1792,1,1,3135,37,48,1500.0,2,4,4.3
8511,4984,1,0,79,21,51,100.0,2,9,4.0
36192,3513,0,0,115,9,51,1000.0,2,4,4.0
47823,3510,0,0,96,10,28,500.0,2,9,3.7
17717,2975,1,0,69,51,51,400.0,2,9,3.3
20923,1070,0,0,20,21,3,400.0,3,0,3.4
36357,2756,1,0,28,9,51,250.0,2,2,3.1
37678,3201,0,0,696,37,51,3000.0,0,8,4.3
43877,5945,0,0,235,41,51,1000.0,5,8,3.9
22453,5623,0,0,9,9,60,100.0,2,9,3.2
46427,4964,1,0,23,35,18,300.0,2,8,2.9
29501,4417,1,0,171,21,9,400.0,2,9,4.1
29715,5421,1,0,726,29,28,400.0,2,9,4.3
28504,5009,1,1,1703,29,51,650.0,4,3,4.2
28876,1460,0,0,77,26,35,600.0,4,9,2.3
44995,3967,1,0,27,41,38,450.0,2,9,3.8
44857,1691,1,1,220,19,51,800.0,2,9,4.0
20873,5693,0,0,128,21,25,400.0,3,6,4.2
36905,255,0,0,18,30,8,250.0,4,8,3.4
20718,5551,0,0,30,23,44,450.0,2,4,3.6
36080,4279,0,0,6,30,51,400.0,2,9,3.4
9056,748,1,0,70,26,51,500.0,2,10,3.8
28998,263,0,0,228,18,10,500.0,4,9,2.8
31778,3736,0,0,4,9,54,150.0,4,9,3.4
22931,578,0,0,24,9,51,400.0,2,9,3.7
50696,2968,1,0,17,41,38,250.0,2,9,3.5
17577,590,1,0,391,19,51,700.0,1,3,4.3
6820,4059,1,0,15,54,39,500.0,2,6,3.6
16006,1914,1,0,55,46,51,300.0,2,9,3.3
35035,2543,1,0,1118,29,51,750.0,2,4,4.1
12179,4155,1,0,7,52,40,200.0,2,9,3.5
7346,236,1,0,148,8,51,600.0,2,4,3.0
25567,5091,1,1,16,38,41,800.0,2,4,3.5
29868,737,1,0,7,29,51,500.0,2,9,3.1
49315,455,1,0,512,26,49,500.0,2,6,3.7
25424,5541,1,0,30,17,51,400.0,2,9,3.6
31592,5787,0,0,23,26,54,150.0,4,9,3.7
36766,1335,1,0,314,29,51,800.0,4,4,4.0
37683,5777,0,1,619,44,51,3400.0,0,8,4.3
37563,5572,1,1,1181,28,51,1300.0,5,8,4.2
33389,3553,0,0,27,9,51,250.0,2,9,2.8
51477,5403,1,0,9,54,38,300.0,4,9,3.3
27476,384,1,0,12,9,28,250.0,2,9,3.5
25258,667,1,0,73,1,51,500.0,2,4,3.6
18580,6226,1,0,888,13,4,500.0,3,6,4.3
44034,2511,1,0,123,41,22,800.0,2,4,2.9
6006,6288,1,0,123,7,19,400.0,4,8,3.7
7973,4002,1,0,11,36,51,200.0,4,8,3.5
21260,4876,0,0,17,21,38,200.0,4,9,3.0
15794,546,0,1,3614,26,51,1600.0,0,4,4.7
10991,5669,1,0,1308,23,51,750.0,4,4,4.0
249,5174,1,0,22,3,51,250.0,2,8,3.7
35617,5525,1,0,66,28,51,700.0,2,8,4.0
23803,3858,1,0,49,9,40,300.0,4,9,3.2
8649,11,1,1,218,29,51,600.0,2,4,4.1
34078,5525,1,0,66,28,51,700.0,4,8,4.0
3469,6220,1,1,354,0,51,800.0,4,4,4.2
30145,435,1,0,18,30,24,300.0,2,7,3.5
29785,5244,1,0,108,13,58,40.0,2,9,3.6
45115,3483,1,0,167,40,13,500.0,2,9,3.0
16203,5787,1,0,119,18,51,200.0,2,9,4.1
48812,2059,0,0,402,7,32,1500.0,5,8,2.0
26854,2502,1,0,292,18,51,600.0,2,4,3.3
9129,2879,1,0,163,29,51,300.0,2,6,3.9
46302,3638,1,0,60,41,51,300.0,2,9,3.7
34364,1575,0,0,5,26,48,200.0,4,9,3.3
6886,2551,1,0,30,36,51,650.0,2,4,3.2
6173,831,0,0,1543,34,51,1200.0,4,8,4.1
40019,2958,1,0,104,35,51,400.0,3,8,3.7
2455,1256,1,0,207,9,20,300.0,4,9,3.7
41814,5542,1,0,521,36,51,500.0,4,9,3.2
38936,5402,1,0,35,7,51,600.0,4,9,3.9
51387,3318,1,0,29,54,51,450.0,4,7,3.7
24198,270,1,0,23,1,25,500.0,2,10,3.6
49073,4350,1,0,1036,18,38,500.0,2,4,4.1
44655,2998,1,0,14,41,51,500.0,4,9,3.5
41370,2794,1,0,528,36,50,150.0,2,9,4.0
48269,3518,0,1,457,37,19,3000.0,4,8,4.3
5583,3675,1,0,46,52,38,300.0,2,9,3.2
10837,3872,1,0,178,9,40,400.0,4,9,3.7
1404,5637,1,0,153,23,16,400.0,2,8,3.9
4851,1133,1,0,33,46,51,200.0,4,3,4.1
28236,1602,0,0,40,30,51,300.0,3,7,4.0
17010,3104,1,1,1166,18,51,600.0,4,4,3.8
11567,2665,0,1,312,44,51,2000.0,0,8,3.9
38832,3950,0,0,6,44,51,800.0,4,4,3.4
35675,1113,1,1,602,30,51,1100.0,2,4,4.1
43086,2671,0,0,14,45,3,200.0,3,0,3.4
22445,4441,0,0,61,23,51,400.0,2,10,3.9
34421,1657,1,0,34,14,38,200.0,4,9,3.7
20122,5409,1,0,149,29,51,600.0,2,4,3.8
30635,2482,0,0,6,26,41,350.0,2,9,3.3
8608,3171,1,0,38,9,51,200.0,2,2,3.9
8411,1901,1,0,56,18,51,250.0,2,10,4.1
50922,261,0,0,13,54,8,200.0,2,9,3.0
34809,989,1,0,1067,29,51,800.0,1,3,4.2
34187,4340,1,0,357,14,38,350.0,4,9,3.4
2040,1402,1,0,16,2,51,500.0,4,4,3.1
36190,2795,0,0,6,9,28,400.0,2,9,3.5
46386,378,0,0,75,43,51,300.0,2,9,3.0
871,6344,1,1,1538,23,51,1000.0,0,4,4.1
42234,5916,0,1,1737,10,51,1000.0,1,3,4.1
4010,4384,1,0,30,46,51,300.0,2,9,3.8
24397,3204,1,0,52,25,51,300.0,2,9,3.9
45175,5174,1,0,33,19,51,250.0,2,8,3.7
15658,530,1,0,57,53,20,150.0,4,9,3.5
47717,4161,1,1,203,45,51,1200.0,2,4,3.8
494,1416,0,0,345,0,34,400.0,3,7,4.3
34170,5228,0,0,4,29,0,300.0,4,8,3.3
36074,1856,0,0,154,30,50,200.0,2,9,3.9
9660,6062,0,0,5,9,43,450.0,2,9,3.3
5831,2570,1,0,93,7,24,300.0,3,7,4.0
20538,5178,0,0,60,23,1,400.0,2,9,2.9
13850,2263,0,0,7,15,18,300.0,2,9,3.1
25498,3676,1,0,9,1,54,300.0,2,10,3.5
7920,305,1,0,108,54,51,700.0,4,4,4.0
16068,1487,0,0,9,18,51,200.0,2,9,3.2
46203,4757,1,0,344,43,49,350.0,2,9,4.1
27440,4744,1,0,125,18,51,550.0,2,4,3.5
26931,4425,1,0,28,9,51,500.0,2,9,3.7
581,799,0,0,43,0,40,700.0,4,8,3.7
26127,5514,1,0,214,24,51,800.0,4,4,4.4
42249,5861,1,0,66,52,51,800.0,1,3,3.7
3196,1662,1,0,13,3,51,300.0,3,8,3.3
44566,1565,0,0,18,39,50,200.0,4,9,3.5
3492,2142,0,1,370,21,51,1000.0,4,4,4.0
17677,1326,1,0,924,19,51,300.0,2,9,3.9
47700,5017,0,0,7,7,14,600.0,2,3,3.2
19896,6049,1,0,7,0,57,500.0,2,9,3.4
20168,1024,1,0,90,0,14,650.0,2,3,3.8
17458,1575,0,0,5,26,48,200.0,4,9,3.3
12896,5209,0,0,75,11,54,150.0,4,9,3.9
12493,5197,0,0,30,41,51,150.0,3,8,3.8
26332,1060,0,0,79,24,4,650.0,4,9,3.8
1005,2620,1,0,345,9,51,450.0,2,10,2.9
8730,6209,1,0,41,2,51,400.0,2,8,4.0
30557,1319,0,0,19,26,51,300.0,2,10,3.7
20104,2520,1,0,26,9,51,400.0,2,9,3.7
48306,5800,1,0,159,20,51,1300.0,4,4,3.8
33271,2522,1,0,109,9,51,800.0,2,4,2.5
31228,5456,1,0,205,29,28,250.0,4,9,4.1
15497,5148,0,0,33,16,56,200.0,4,9,3.7
22142,1572,1,0,10,9,39,250.0,2,9,3.5
41130,5296,1,0,14,36,60,250.0,2,9,3.4
28559,1141,1,0,293,30,51,250.0,4,8,4.0
17708,285,1,0,99,52,38,150.0,2,9,3.9
27997,1607,0,0,5,30,47,400.0,2,6,3.2
26536,1663,0,0,314,28,15,600.0,1,3,4.1
23161,5899,0,1,720,23,51,1500.0,4,8,4.0
1456,6257,1,0,308,21,51,750.0,2,3,4.0
29487,4715,1,0,149,18,37,200.0,2,8,3.9
30813,2452,1,0,25,18,51,250.0,2,9,3.7
47607,562,1,0,22,16,34,250.0,2,7,3.1
14253,1335,0,0,95,15,18,500.0,4,4,2.9
35458,189,1,0,13,45,51,350.0,2,9,3.1
44128,2027,1,0,702,39,51,700.0,2,4,4.0
7506,3660,1,0,218,8,51,550.0,2,4,3.3
47219,5777,0,1,620,44,51,3400.0,0,8,4.3
51614,3794,0,0,5,41,51,300.0,4,9,3.2
13336,2002,0,1,336,37,51,1800.0,6,5,4.1
44021,5318,1,0,108,41,46,300.0,2,9,3.5
20613,1747,1,0,10,41,44,700.0,2,4,3.6
29264,6353,0,0,39,9,32,1200.0,5,1,3.5
36975,1189,1,0,34,14,38,300.0,4,9,3.9
13936,4125,1,0,13,15,37,300.0,2,8,3.6
30088,5026,1,0,36,9,40,200.0,2,9,3.0
10208,6226,1,0,38,9,4,500.0,3,0,3.9
29009,105,1,0,212,18,51,800.0,4,4,3.4
12900,2391,1,0,79,52,48,300.0,4,9,3.6
40936,4413,1,0,17,36,55,450.0,2,9,3.5
2222,4148,1,0,158,2,40,300.0,4,9,2.4
29600,6239,1,0,231,26,51,400.0,2,6,3.9
37374,1859,0,0,6,55,8,200.0,4,8,3.1
20325,47,0,0,62,21,14,150.0,2,3,4.0
15037,5920,1,0,7,52,51,500.0,2,9,3.4
27802,2280,0,1,2155,29,51,1000.0,2,8,4.0
28599,2602,1,0,243,30,51,800.0,4,4,3.6
32881,2965,1,0,63,41,31,350.0,2,9,3.8
5069,1047,1,0,9,49,14,300.0,1,3,3.4
6076,4280,1,1,2040,37,51,1500.0,4,4,4.3
37856,3171,1,0,23,3,51,100.0,2,2,3.8
4370,1474,0,0,177,46,25,300.0,2,7,3.9
2649,4816,1,0,155,21,51,300.0,2,2,4.5
32825,1739,1,1,346,29,51,1000.0,2,5,4.4
24963,5131,0,0,6,25,51,150.0,4,9,3.3
21651,953,0,0,25,23,60,200.0,4,9,3.4
14461,4179,0,0,7,15,38,200.0,4,9,3.2
22488,516,1,0,154,2,51,600.0,2,9,2.9
16316,4744,1,0,121,18,51,550.0,2,4,3.6
31630,1122,0,0,4,14,18,150.0,4,9,3.2
8103,556,0,0,13,54,54,250.0,4,9,3.5
46544,4815,1,0,86,42,51,1500.0,2,8,3.9
30696,2175,0,0,7,18,41,400.0,2,9,3.4
30924,770,1,1,1855,26,51,600.0,3,3,4.1
36699,3703,0,1,1250,28,51,1200.0,4,8,4.5
17637,5760,0,1,24,52,51,2200.0,1,3,3.8
43150,2265,1,1,4840,12,51,1300.0,3,8,4.7
29446,4763,1,0,421,9,51,800.0,2,4,3.9
26055,1914,0,0,32,25,28,200.0,4,9,3.5
50343,1133,1,0,8,8,51,200.0,2,3,3.5
29844,2485,1,0,67,30,51,1000.0,2,4,4.1
26054,2138,0,0,54,25,51,350.0,4,8,3.7
18075,6293,1,1,81,52,21,800.0,2,4,3.9
324,295,1,0,45,21,8,200.0,2,9,3.6
23748,4925,1,0,68,21,51,550.0,4,9,3.1
10247,2098,0,0,47,9,24,200.0,3,7,3.8
48901,3984,1,0,300,46,51,400.0,2,6,4.3
26893,298,1,0,64,9,51,250.0,2,9,3.2
41473,1038,0,0,40,36,51,400.0,3,8,3.2
39815,13,0,1,1070,35,40,950.0,2,4,4.0
47800,3394,0,0,85,10,18,500.0,2,9,3.9
16872,292,0,0,116,18,51,200.0,3,9,4.1
8941,4487,1,0,141,18,51,500.0,2,4,3.7
12376,1738,1,0,122,10,7,400.0,3,8,4.0
8236,6163,1,0,7,54,38,600.0,4,4,3.0
48611,4645,1,0,50,55,38,350.0,4,9,3.8
42331,1746,1,0,1086,7,51,550.0,2,8,4.0
37923,2044,1,0,46,3,51,400.0,2,2,4.1
21976,4016,1,0,65,9,51,500.0,2,4,2.9
12756,541,0,0,72,34,51,2500.0,4,8,3.9
9316,5425,1,0,181,23,51,550.0,2,4,4.0
51150,5113,1,0,30,54,40,400.0,4,4,3.6
6228,6278,0,0,433,11,51,650.0,4,4,2.5
36656,1150,0,0,81,31,51,200.0,4,9,3.8
29601,5009,1,1,1704,29,51,650.0,2,3,4.2
17694,1176,1,1,257,22,51,500.0,2,4,3.4
47527,3704,1,0,120,52,51,600.0,2,4,3.9
24401,330,0,0,121,41,51,600.0,2,4,3.9
44226,1238,1,0,78,41,51,350.0,2,9,3.9
38045,5609,1,0,227,37,51,700.0,2,9,4.4
40595,1081,1,0,20,41,4,200.0,2,10,3.9
522,2766,0,0,8,0,4,400.0,3,0,3.4
31189,1197,1,0,166,29,28,300.0,4,9,4.2
35404,1071,1,0,11,29,4,300.0,2,8,3.1
43734,6346,1,0,256,16,51,700.0,4,4,3.9
17863,4530,1,0,137,22,51,300.0,2,9,3.9
2585,3734,1,0,34,21,54,100.0,2,9,3.6
22478,4421,1,1,564,2,38,900.0,2,4,3.9
34452,2559,1,0,221,9,12,600.0,4,4,3.6
31780,1771,0,0,87,9,28,250.0,4,9,3.8
47295,3240,0,0,797,10,51,900.0,1,8,4.3
